grid_size,avg_sugar,vision,metabolism,move_rate,stay_rate,attack_rate,reproduce_rate
20,3.0,1.0,1.016494833826007,0.6284177498879426,0.3303451367099955,0.038995965934558494,0.0022411474675033617
20,3.0,4.0,1.783543075615619,0.7654867256637168,0.18805309734513273,0.022123893805309734,0.024336283185840708
20,3.0,2.0,1.757735522488605,0.668769716088328,0.2908517350157729,0.032807570977917984,0.007570977917981073
30,0.5,6.0,0.6669966022485205,0.25616197183098594,0.6540492957746479,0.07746478873239436,0.01232394366197183
30,0.5,1.0,0.929126270445708,0.29169121979964646,0.690041249263406,0.01767825574543312,0.0005892751915144372
30,0.5,4.0,1.2800307334434837,0.5128410914927769,0.41813804173354735,0.05056179775280899,0.018459069020866775
30,0.5,3.0,1.1265367845598036,0.4056537102473498,0.5448763250883393,0.0353356890459364,0.014134275618374558
30,0.5,1.0,1.0999915939565195,0.2702702702702703,0.7172557172557172,0.01178101178101178,0.000693000693000693
30,0.5,3.0,0.5937877680754614,0.3322295805739514,0.6274834437086093,0.033112582781456956,0.00717439293598234
30,0.5,5.0,0.973180418445447,0.4125,0.5173076923076924,0.06057692307692308,0.009615384615384616
30,0.5,1.0,1.016494833826007,0.3209207853757617,0.6696005416384563,0.008801624915368992,0.0006770480704129993
30,0.5,4.0,1.783543075615619,0.5662921348314607,0.3595505617977528,0.056179775280898875,0.017977528089887642
30,0.5,2.0,1.757735522488605,0.3736559139784946,0.5766129032258065,0.04032258064516129,0.009408602150537635
30,1.0,6.0,0.6669966022485205,0.4091695501730104,0.48961937716262977,0.08391003460207612,0.01730103806228374
30,1.0,1.0,0.929126270445708,0.497377205531712,0.47305674773485934,0.023843586075345733,0.005722460658082976
30,1.0,4.0,1.2800307334434837,0.5845511482254697,0.3277661795407098,0.059846903270702856,0.027835768963117607
30,1.0,3.0,1.1265367845598036,0.5947882736156351,0.3315960912052117,0.04820846905537459,0.025407166123778503
30,1.0,1.0,1.0999915939565195,0.4391669711362806,0.5425648520277676,0.01607599561563756,0.0021921812203142127
30,1.0,3.0,0.5937877680754614,0.5429173249078463,0.40442338072669826,0.03528172722485519,0.017377567140600316
30,1.0,5.0,0.973180418445447,0.5442942942942943,0.39714714714714716,0.04279279279279279,0.015765765765765764
30,1.0,1.0,1.016494833826007,0.39681838267786124,0.588157313300928,0.014140521431727796,0.0008837825894829872
30,1.0,4.0,1.783543075615619,0.6531986531986532,0.2962962962962963,0.03367003367003367,0.016835016835016835
30,1.0,2.0,1.757735522488605,0.4735169491525424,0.4947033898305085,0.025423728813559324,0.006355932203389831
30,1.5,6.0,0.6669966022485205,0.47761194029850745,0.42844600526777876,0.07901668129938542,0.014925373134328358
30,1.5,1.0,0.929126270445708,0.5670026129152669,0.4057484135871594,0.024262784621127288,0.0029861888764464353
30,1.5,4.0,1.2800307334434837,0.603641456582633,0.3326330532212885,0.05112044817927171,0.012605042016806723
30,1.5,3.0,1.1265367845598036,0.7210103329506314,0.22502870264064295,0.03214695752009185,0.021814006888633754
30,1.5,1.0,1.0999915939565195,0.4836666666666667,0.494,0.019,0.0033333333333333335
30,1.5,3.0,0.5937877680754614,0.6388888888888888,0.2960069444444444,0.041666666666666664,0.0234375
30,1.5,5.0,0.973180418445447,0.6940985381700054,0.22847861396859773,0.04981050351922036,0.027612344342176503
30,1.5,1.0,1.016494833826007,0.4975592747559275,0.4804741980474198,0.019525801952580194,0.0024407252440725243
30,1.5,4.0,1.783543075615619,0.713490959666203,0.23504867872044508,0.03477051460361613,0.016689847009735744
30,1.5,2.0,1.757735522488605,0.5227606461086637,0.44052863436123346,0.03010279001468429,0.006607929515418502
30,2.0,6.0,0.6669966022485205,0.610366398570152,0.2779267202859696,0.09294012511170688,0.01876675603217158
30,2.0,1.0,0.929126270445708,0.6022146507666098,0.3692504258943782,0.02555366269165247,0.002981260647359455
30,2.0,4.0,1.2800307334434837,0.6666666666666666,0.2572614107883817,0.04979253112033195,0.02627939142461964
30,2.0,3.0,1.1265367845598036,0.7126969416126042,0.23540315106580167,0.028730305838739572,0.023169601482854494
30,2.0,1.0,1.0999915939565195,0.5845574387947269,0.3902071563088512,0.022598870056497175,0.0026365348399246705
30,2.0,3.0,0.5937877680754614,0.6690856313497823,0.2680212868892114,0.045476536042573776,0.01741654571843251
30,2.0,5.0,0.973180418445447,0.6991150442477876,0.21511232130701158,0.059904697072838665,0.025867937372362152
30,2.0,1.0,1.016494833826007,0.567480152896207,0.40899735371949425,0.021170244045868862,0.0023522493384298734
30,2.0,4.0,1.783543075615619,0.7320574162679426,0.22129186602870812,0.02631578947368421,0.02033492822966507
